model,benchmark,reference_observation_class,reference_method,comparison_observation_class,comparison_method,operator,estimand,metric,unit,favorable_direction,n_tasks,reference_mean,comparison_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,6006.025,4315.3,-1690.725,-1779.2256249999998,-1607.9250000000002,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,5088.025,0.0,-5088.025,-5217.14375,-4969.847500000001,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,total_tokens,tokens,lower,40,11094.05,4315.3,-6778.75,-6956.991875000001,-6615.945000000001,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,latency_ms,milliseconds,lower,40,31570.175,20202.0,-11368.175,-12646.846875000001,-10123.179375000002,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,actual_cost_usd,USD,lower,40,0.0037734749999999997,0.0022082,-0.001565275,-0.0016563618749999996,-0.0014750668750000001,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0037734749999999997,0.0022082,-0.001565275,-0.0016615006249999999,-0.0014735312500000002,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,active,active_recompute,baseline,turn_clock,lossy_compaction,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,comparison_method_minus_reference_method,paired_source_task
