model,benchmark,observation_class,method,operator,control_operator,estimand,metric,unit,favorable_direction,n_tasks,control_mean,operator_mean,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,effect_definition,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,task_tokens,tokens,lower,40,3826.45,4191.375,364.925,263.03812500000004,469.8525,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,total_tokens,tokens,lower,40,3826.45,4191.375,364.925,264.6968750000001,467.60875,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,latency_ms,milliseconds,lower,40,19266.05,20567.05,1301.0,20.641250000001115,2588.026874999998,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.00205655,0.0021945,0.00013795000000000002,5.384687500000002e-05,0.00023027749999999996,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.00205655,0.0021945,0.00013795000000000002,5.397062500000002e-05,0.0002290124999999999,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,success,proportion,higher,40,0.725,0.7,-0.025,-0.075,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,0.0,0.0,0.0,0.95,2000,12012,operator_minus_none,paired_source_task
