model,benchmark,observation_class,method,operator,estimand,metric,unit,favorable_direction,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,task_tokens,tokens,lower,40,3826.45,3601.6437499999997,4068.4306250000004,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,total_tokens,tokens,lower,40,3826.45,3600.5606249999996,4062.896875,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,latency_ms,milliseconds,lower,40,19266.05,18069.644375,20473.379374999997,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,actual_cost_usd,USD,lower,40,0.00205655,0.00190244,0.0022123943749999997,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,estimated_cost_usd,USD,lower,40,0.00205655,0.0018995493749999997,0.0022270256249999993,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,none,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,success,proportion,higher,40,0.725,0.575,0.85,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,task_tokens,tokens,lower,40,4191.375,3980.6899999999996,4413.326249999999,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,total_tokens,tokens,lower,40,4191.375,3977.7825000000003,4426.180625,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,latency_ms,milliseconds,lower,40,20567.05,19177.045625,22109.57625,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,actual_cost_usd,USD,lower,40,0.0021945,0.00201679375,0.002385189375,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,reported_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,estimated_cost_usd,USD,lower,40,0.0021945,0.00202223375,0.0023816137500000003,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,upper_bound_cost_usd,USD,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,passive-behavioral,frozen_probe:recompute,public_state_reground,yoked_anchor,failed_retry_attempts,count,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,success,proportion,higher,40,0.7,0.55,0.825,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,action_rate,proportion_of_observed_checkpoints,descriptive,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,acted_on_task,proportion,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,scheduled_actions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,applied_interventions,count,descriptive,40,1.0,1.0,1.0,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,task_tokens,tokens,lower,40,4315.3,4119.730625,4522.68,0.95,2000,12012,source_task
gpt-5.6-luna,evolving_intent_gsm8k,baseline,turn_clock,lossy_compaction,yoked_anchor,observer_tokens,tokens,lower,40,0.0,0.0,0.0,0.95,2000,12012,source_task
