analysis_role,paper_class,method,operator,metric,unit,n_tasks,mean,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,task_tokens,tokens,40,4140.775,3928.995625,4363.38625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,observer_tokens,tokens,40,3806.925,3677.62375,3955.3418749999996,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,total_tokens,tokens,40,7947.7,7608.875,8309.284375,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,latency_ms,milliseconds,40,35354.25,33836.320625,36840.716875000006,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,public_state_reground,actual_cost_usd,USD,40,0.003721575,0.0035515481250000002,0.0038926762499999997,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,firing_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,action_incidence,proportion,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,firing_rate,proportion_of_observed_checkpoints,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,action_rate,proportion_of_observed_checkpoints,40,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,threshold_firings,count,40,6.0,6.0,6.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,selected_actions,count,40,1.0,1.0,1.0,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,task_tokens,tokens,40,3987.175,3773.189375,4208.968124999999,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,observer_tokens,tokens,40,3673.8,3520.29875,3843.890625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,total_tokens,tokens,40,7660.975,7301.815625,8042.0325,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,latency_ms,milliseconds,40,35179.55,33488.70250000001,36988.625,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,actual_cost_usd,USD,40,0.0036209,0.0034556706249999998,0.003791026875,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,firing_incidence,proportion,40,0.85,0.725,0.95,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,action_incidence,proportion,40,0.85,0.725,0.95,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,firing_rate,proportion_of_observed_checkpoints,40,0.25,0.19583333333333333,0.30416666666666664,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,action_rate,proportion_of_observed_checkpoints,40,0.14166666666666666,0.12083333333333332,0.15833333333333333,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,threshold_firings,count,40,1.5,1.175,1.825,0.95,2000,12012,paired_source_task
primary_online_natural_policy,passive,frozen_quiz,none,selected_actions,count,40,0.85,0.725,0.95,0.95,2000,12012,paired_source_task
