benchmark,model,method,observation_class,provider_backed,n_tasks,tasks_with_provider_calls,providers,observer_models,cost_qualities,sum_checkpoint_count,median_checkpoint_count,sum_provider_call_count,median_provider_call_count,sum_input_tokens,median_input_tokens,sum_output_tokens,median_output_tokens,sum_total_tokens,median_total_tokens,sum_cached_input_tokens,median_cached_input_tokens,sum_reasoning_tokens,median_reasoning_tokens,sum_latency_ms,median_latency_ms,sum_cost_micro_usd,median_cost_micro_usd,sum_cost_usd,median_cost_usd
evolving_intent_gsm8k,gpt-5.6-luna,frozen_quiz,passive_zero_carry,True,56,56,openai,gpt-5.6-luna,estimated,336,6,336,6,196267,3342.5,90988,1640,287255,5083,0,0,82023,1457.5,1400004,22730,158406,2850.5,0.158406,0.0028505
evolving_intent_gsm8k,gpt-5.6-luna,trace_judge,passive_zero_carry,True,56,56,openai,gpt-5.6-sol,estimated,336,6,336,6,236099,4046.5,43353,736.5,279452,4781,0,0,21088,339.5,1196697,20420.5,2047555,35557.5,2.047555,0.0355575
evolving_intent_gsm8k,gpt-5.6-luna,trace_rules,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-5.6-luna,turn_clock,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-5.6-luna,context_use,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-5.6-terra,active_recompute,active_carry,True,56,56,openai,gpt-5.6-terra,estimated,336,6,336,6,215888,3787,28499,509,244387,4297,12551,0,24131,431,860221,14098.5,852922,15280,0.852922,0.015280
evolving_intent_gsm8k,gpt-5.6-terra,frozen_probe:recompute,passive_zero_carry,True,56,56,openai,gpt-5.6-terra,estimated,336,6,336,6,167978,2842.5,31709,565.5,199687,3421,0,0,27354,487.5,874464,14595,800530,13786,0.800530,0.013786
evolving_intent_gsm8k,gpt-5.6-terra,frozen_probe:current_copy,passive_zero_carry,True,56,56,openai,gpt-5.6-terra,estimated,336,6,336,6,167816,2839,16754,299,184570,3143,0,0,11812,209,674028,11267.5,620673,10701.5,0.620673,0.0107015
evolving_intent_gsm8k,gpt-5.6-terra,frozen_quiz,passive_zero_carry,True,56,56,openai,gpt-5.6-terra,estimated,336,6,336,6,192929,3293.5,75228,1343.5,268157,4689,0,0,63455,1125,1214060,21049,1385147,24627.5,1.385147,0.0246275
evolving_intent_gsm8k,gpt-5.6-terra,trace_judge,passive_zero_carry,True,56,56,openai,gpt-5.6-sol,estimated,336,6,336,6,228499,3933,43506,776.5,272005,4686,0,0,21736,390.5,1223260,21248.5,2012615,34980,2.012615,0.034980
evolving_intent_gsm8k,gpt-5.6-terra,trace_rules,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-5.6-terra,turn_clock,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-5.6-terra,context_use,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-oss-120b,active_recompute,active_carry,True,56,56,fireworks,accounts/fireworks/models/gpt-oss-120b,estimated,336,6,336,6,227463,3929,56385,1018,283848,4926,155930,2659.5,49843,909,385715,6226.5,47064,846,0.047064,0.000846
evolving_intent_gsm8k,gpt-oss-120b,frozen_probe:recompute,passive_zero_carry,True,56,56,fireworks,accounts/fireworks/models/gpt-oss-120b,estimated,336,6,336,6,258224,4218.5,60857,1100,319081,5301,235067,3805.5,55795,1007.5,581554,9067.5,43696,783,0.043696,0.000783
evolving_intent_gsm8k,gpt-oss-120b,frozen_probe:current_copy,passive_zero_carry,True,56,56,fireworks,accounts/fireworks/models/gpt-oss-120b,estimated,336,6,336,6,258062,4213.5,30230,537.5,288292,4737,165592,2666,23958,426,400397,6427,34660,597.5,0.034660,0.0005975
evolving_intent_gsm8k,gpt-oss-120b,frozen_quiz,passive_zero_carry,True,56,56,fireworks,accounts/fireworks/models/gpt-oss-120b,estimated,336,6,336,6,283507,4670.5,104979,1899,388486,6554,232715,3763.5,101508,1836.5,750084,12825.5,74261,1336,0.074261,0.001336
evolving_intent_gsm8k,gpt-oss-120b,trace_judge,passive_zero_carry,True,56,56,openai,gpt-5.6-sol,estimated,336,6,336,6,306800,4973,46568,812.5,353368,5755,0,0,22787,404.5,1275066,22249,2465360,41295,2.465360,0.041295
evolving_intent_gsm8k,gpt-oss-120b,trace_rules,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-oss-120b,turn_clock,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
evolving_intent_gsm8k,gpt-oss-120b,context_use,passive_zero_carry,False,56,0,,,,336,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
