study,inference_status,run_id,benchmark,model,active_arm,probe,burden_axis,display_order,n_tasks,clean_success,active_success,effect,effect_percentage_points,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,point_sign,strict_ci_sign,ci_excludes_zero,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,active_name_recall,initial recall,memory,1,20,0.25,0.2,-0.05,-5.0,-0.2,0.1,-20.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,active_counter,stateful counter,memory + update,2,20,0.25,0.1,-0.15,-15.0,-0.3,0.0,-30.0,0.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-oss-120b,active_recompute,recompute,reasoning,3,20,0.25,0.1,-0.15,-15.0,-0.3,0.0,-30.0,0.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,active_name_copy,current copy,direct copy,0,20,0.35,0.35,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,active_name_recall,initial recall,memory,1,20,0.35,0.35,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,active_counter,stateful counter,memory + update,2,20,0.35,0.35,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,qwen3p7-plus,active_recompute,recompute,reasoning,3,20,0.35,0.35,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,active_name_copy,current copy,direct copy,0,20,0.25,0.2,-0.05,-5.0,-0.2,0.1,-20.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,active_name_recall,initial recall,memory,1,20,0.25,0.15,-0.1,-10.0,-0.25,0.0,-25.0,0.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,active_counter,stateful counter,memory + update,2,20,0.25,0.25,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-luna,active_recompute,recompute,reasoning,3,20,0.25,0.4,0.15,15.0,0.0,0.3,0.0,30.0,positive,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,active_name_copy,current copy,direct copy,0,20,0.35,0.25,-0.1,-10.0,-0.25,0.0,-25.0,0.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,active_name_recall,initial recall,memory,1,20,0.35,0.3,-0.05,-5.0,-0.15,0.0,-15.0,0.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,active_counter,stateful counter,memory + update,2,20,0.35,0.3,-0.05,-5.0,-0.25,0.1,-25.0,10.0,negative,includes_zero,False,0.95,2000,12012,task
exploratory_mechanism,exploratory_mechanism_screen,e12-baseline-bfcl-allarms-fourmodels-v2,bfcl_multi_turn,gpt-5.6-terra,active_recompute,recompute,reasoning,3,20,0.35,0.35,0.0,0.0,-0.15,0.15,-15.0,15.0,zero,includes_zero,False,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-evolving-core-v2,evolving_intent_gsm8k,deepseek-v4-flash-0731,active_recompute,recompute,reasoning,3,56,0.8214285714285714,0.5714285714285714,-0.25,-25.0,-0.39285714285714285,-0.10714285714285714,-39.285714285714285,-10.714285714285714,negative,negative,True,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-evolving-core-v2,evolving_intent_gsm8k,gpt-oss-120b,active_recompute,recompute,reasoning,3,56,0.6785714285714286,0.5,-0.17857142857142858,-17.857142857142858,-0.3392857142857143,-0.017857142857142856,-33.92857142857143,-1.7857142857142856,negative,negative,True,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-evolving-core-v2,evolving_intent_gsm8k,gpt-5.6-luna,active_recompute,recompute,reasoning,3,56,0.75,0.7857142857142857,0.03571428571428571,3.571428571428571,-0.07142857142857142,0.14285714285714285,-7.142857142857142,14.285714285714285,positive,includes_zero,False,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-evolving-core-v2,evolving_intent_gsm8k,gpt-5.6-terra,active_recompute,recompute,reasoning,3,56,0.7857142857142857,0.7321428571428571,-0.05357142857142857,-5.357142857142857,-0.16071428571428573,0.05357142857142857,-16.071428571428573,5.357142857142857,negative,includes_zero,False,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-oss-120b,active_recompute,recompute,reasoning,3,56,0.26785714285714285,0.08928571428571429,-0.17857142857142858,-17.857142857142858,-0.2857142857142857,-0.08928571428571429,-28.57142857142857,-8.928571428571429,negative,negative,True,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-luna,active_recompute,recompute,reasoning,3,56,0.4642857142857143,0.35714285714285715,-0.10714285714285714,-10.714285714285714,-0.21428571428571427,0.0,-21.428571428571427,0.0,negative,includes_zero,False,0.95,2000,12012,task
confirmatory_powered,powered_prespecified_recompute,e12-confirmatory-bfcl-core-v3,bfcl_multi_turn,gpt-5.6-terra,active_recompute,recompute,reasoning,3,56,0.4107142857142857,0.39285714285714285,-0.017857142857142856,-1.7857142857142856,-0.10714285714285714,0.07142857142857142,-10.714285714285714,7.142857142857142,negative,includes_zero,False,0.95,2000,12012,task
